IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.16.242.238,4,4,0.00,17.74,106.16,HKG
104.17.22.45,4,4,0.00,18.11,104.33,HKG
104.17.62.46,4,4,0.00,17.45,104.25,HKG
104.19.41.12,4,4,0.00,18.18,100.84,HKG
104.18.43.126,4,4,0.00,17.74,93.47,HKG
104.17.169.144,4,4,0.00,17.66,93.36,HKG
104.17.52.116,4,4,0.00,17.27,87.50,HKG
104.16.144.160,4,4,0.00,17.29,85.73,HKG
104.17.119.119,4,4,0.00,18.22,0.00,HKG
104.16.243.214,4,4,0.00,18.29,0.00,HKG
104.17.99.11,4,4,0.00,18.36,0.00,HKG
104.17.182.133,4,4,0.00,18.40,0.00,HKG
104.17.100.1,4,4,0.00,18.48,0.00,HKG
104.19.45.225,4,4,0.00,18.54,0.00,HKG
104.16.251.129,4,4,0.00,18.58,0.00,HKG
104.16.155.197,4,4,0.00,18.66,0.00,HKG
104.19.59.142,4,4,0.00,18.68,0.00,HKG
104.17.20.249,4,4,0.00,18.78,0.00,HKG
104.19.61.166,4,4,0.00,18.83,0.00,HKG
104.17.164.226,4,4,0.00,18.85,0.00,HKG
